Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,Product Type,New Column,Test,Test2
11-05-2025,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,11-05-2025,17-05-2025,Wendy,Office Accessories,8.666666667,16,16
26-02-2023,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online,WINTER15,0,REG100016,Cust 4975,34.11,26-02-2023,04-03-2023,Wendy,Laptop and Accessories,9.166666667,17,17
28-05-2024,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash,SAVE10,0,REG100017,Cust 8014,34.71,28-05-2024,01-06-2024,Cameron,Office Accessories,9.666666667,18,18
30-11-2023,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.68,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,30-11-2023,08-12-2023,Eric,Mobile Devices,10.16666667,19,19
22-06-2023,West,Desk,14,30.83,Store B,Retail,0,Carlos,431.62,Online,WINTER15,1,REG100019,Cust 4247,7.1,22-06-2023,02-07-2023,Wendy,Office Accessories,10.66666667,20,20
05-06-2025,West,Phone,10,319.05,Store D,Wholesale,FALSE,Diana,3190.5,Online,,0,REG100020,Cust 4199,28.43,05-06-2025,08-06-2025,Wendy,Mobile Devices,11.16666667,21,21
03-03-2023,Central,Chair,14,312.79,Store A,Retail,0.05,Bob,4160.107,Online,,1,REG100021,Cust 4186,46.83,03-03-2023,08-03-2023,Cameron,Office Accessories,11.66666667,22,22
18-02-2024,North,Laptop,14,395.45,Store C,Retail,0,Carlos,5536.3,Cash,FREESHIP,1,REG100022,Cust 8137,36.45,18-02-2024,22-02-2024,Ryan,Laptop and Accessories,12.16666667,23,23
06-08-2023,,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744,Credit Card,,0,REG100023,Cust 4638,27.97,06-08-2023,14-08-2023,Cameron,Laptop and Accessories,12.66666667,24,24
23-05-2024,North,Desk,5,288.01,Store A,Wholesale,0,Eva,1440.05,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,23-05-2024,30-05-2024,Ryan,Office Accessories,13.16666667,25,25
23-10-2023,East,Phone,13,562.29,Store D,Retail,0,Diana,7309.77,Gift Card,SAVE10,0,REG100025,Cust 6322,38.13,23-10-2023,28-10-2023,Eric,Mobile Devices,13.66666667,26,26
16-06-2025,West,Phone,1,101.73,Store D,Retail,0,Frank,101.73,Debit Card,WINTER15,0,REG100026,Cust 2609,11.59,16-06-2025,25-06-2025,Wendy,Mobile Devices,14.16666667,27,27
03-03-2023,North,Phone,4,279.49,Store B,Retail,0,Diana,1117.96,Credit Card,FREESHIP,0,REG100027,Cust 6880,24.78,03-03-2023,08-03-2023,Ryan,Mobile Devices,14.66666667,28,28
18-11-2024,South,Laptop,1,178.55,Store A,Retail,0.15,Carlos,151.7675,Debit Card,SAVE10,1,REG100028,Cust 1997,7.61,18-11-2024,21-11-2024,Sophie,Laptop and Accessories,15.16666667,29,29
09-05-2023,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online,FREESHIP,0,REG100029,Cust 7072,33.17,09-05-2023,17-05-2023,Cameron,Mobile Devices,15.66666667,30,30
07-12-2024,North,Tablet,12,306.29,Store D,Retail,0,Frank,3675.48,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,07-12-2024,14-12-2024,Ryan,Mobile Devices,16.16666667,31,31
13-02-2024,North,Phone,7,434.77,Store C,Retail,0.15,Frank,2586.8815,Online,SAVE10,0,REG100031,Cust 9923,12.35,13-02-2024,15-02-2024,Ryan,Mobile Devices,16.66666667,32,32
09-03-2025,South,desk,6,64.98,Store C,Retail,0,Carlos,389.88,Debit Card,WINTER15,0,REG100032,Cust 2205,21.25,09-03-2025,15-03-2025,Sophie,Office Accessories,17.16666667,33,33
05-04-2023,Central,Desk,17,476.49,Store D,Retail,0,Alice,8100.33,Gift Card,,0,REG100033,Cust 6403,17.91,05-04-2023,11-04-2023,Cameron,Office Accessories,17.66666667,34,34
08-05-2025,North,Monitor,4,559.72,Store D,Retail,0.15,Diana,1903.048,Online,SAVE10,0,REG100034,Cust 3953,41.91,08-05-2025,12-05-2025,Ryan,Laptop and Accessories,18.16666667,35,35
03-09-2023,North,Tablet,14,82.14,Store C,Retail,0,Alice,1149.96,Credit Card,,0,REG100035,Cust 7902,12.57,03-09-2023,11-09-2023,Ryan,Mobile Devices,18.66666667,36,36
21-03-2025,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card,FREESHIP,0,REG100036,Cust 9968,40.29,21-03-2025,28-03-2025,Cameron,Office Accessories,19.16666667,37,37
20-06-2025,South,Chair ,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash,SAVE10,1,REG100037,Cust 3787,34.97,20-06-2025,30-06-2025,Sophie,Office Accessories,19.66666667,38,38
15-02-2024,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash,,1,REG100038,Cust 2469,24.77,15-02-2024,25-02-2024,Cameron,Laptop and Accessories,20.16666667,39,39
09-06-2023,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.576,Gift Card,,0,REG100039,Cust 6468,34.79,09-06-2023,17-06-2023,Cameron,Laptop and Accessories,20.66666667,40,40
10-08-2023,South,Printer,5,470.32,Store A,Retail,0.1,Eva,2116.44,Debit Card,SAVE10,0,REG100040,Cust 5312,17.77,10-08-2023,14-08-2023,Sophie,Laptop and Accessories,21.16666667,41,41
16-06-2024,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,16-06-2024,25-06-2024,Cameron,Laptop and Accessories,21.66666667,42,42
23-07-2023,South,Laptop,12,36.17,Store A,Retail,0,Eva,434.04,Online,WINTER15,0,REG100042,Cust 7903,34.85,23-07-2023,26-07-2023,Sophie,Laptop and Accessories,22.16666667,43,43
20-05-2023,,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card,WINTER15,1,REG100043,Cust 9605,27.39,20-05-2023,27-05-2023,Cameron,Laptop and Accessories,22.66666667,44,44
30-06-2023,South,Laptop ,2,416.06,Store D,Retail,0.05,Eva,790.514,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,30-06-2023,04-07-2023,Sophie,Laptop and Accessories,23.16666667,45,45
04-06-2024,South,Tablet,16,302.58,Store D,Retail,0,Alice,4841.28,Online,WINTER15,1,REG100045,Cust 5533,20.76,04-06-2024,14-06-2024,Sophie,Mobile Devices,23.66666667,46,46
03-02-2025,West,Chair,11,33.13,Store A,Retail,0.15,Frank,309.7655,Online,FREESHIP,0,REG100046,Cust 6362,24.95,03-02-2025,05-02-2025,Wendy,Office Accessories,24.16666667,47,47
09-01-2024,East,Tablet ,8,582.52,Store D,Retail,0.15,Frank,3961.136,Gift Card,WINTER15,0,REG100047,Cust 4826,6.47,09-01-2024,13-01-2024,Eric,Mobile Devices,24.66666667,48,48
14-03-2024,North,Desk,5,165.15,Store A,Retail,0.1,Eva,743.175,Gift Card,,0,REG100048,Cust 2171,20.57,14-03-2024,16-03-2024,Ryan,Office Accessories,25.16666667,49,49
06-09-2024,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash,WINTER15,1,REG100049,Cust 4005,20.71,06-09-2024,13-09-2024,Wendy,Laptop and Accessories,25.66666667,50,50
17-03-2023,East,Monitor,13,65.99,Store A,Wholesale,0.1,Frank,772.083,Cash,WINTER15,0,REG100050,Cust 7032,12.87,17-03-2023,20-03-2023,Eric,Laptop and Accessories,26.16666667,51,51
17-01-2025,West,Chair,2,251.69,Store C,Wholesale,0,Alice,503.38,Debit Card,FREESHIP,0,REG100051,Cust 7167,42.49,17-01-2025,24-01-2025,Wendy,Office Accessories,26.66666667,52,52
12-09-2024,South,Laptop,1,269.41,Store B,Wholesale,0.1,Eva,242.469,Cash,WINTER15,1,REG100052,Cust 5702,19.22,12-09-2024,18-09-2024,Sophie,Laptop and Accessories,27.16666667,53,53
05-01-2024,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,05-01-2024,15-01-2024,Sophie,Laptop and Accessories,27.66666667,54,54
19-04-2024,West,Tablet,11,288.24,Store A,Wholesale,0.15,Diana,2695.044,Online,,0,REG100054,Cust 8149,37.39,19-04-2024,25-04-2024,Wendy,Mobile Devices,28.16666667,55,55
11-06-2025,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card,SAVE10,0,REG100055,Cust 3638,36.33,11-06-2025,21-06-2025,Cameron,Mobile Devices,28.66666667,56,56
06-03-2025,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash,SAVE10,0,REG100056,Cust 9973,7.84,06-03-2025,15-03-2025,Eric,Mobile Devices,29.16666667,57,57
24-05-2023,East,Chair,5,100.38,Store C,Retail,0.1,Eva,451.71,Gift Card,WINTER15,1,REG100057,Cust 4214,18.35,24-05-2023,26-05-2023,Eric,Office Accessories,29.66666667,58,58
27-01-2023,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,27-01-2023,03-02-2023,Sophie,Mobile Devices,30.16666667,59,59
21-03-2024,South,Laptop,18,316.89,Store B,Wholesale,0.05,Bob,5418.819,Cash,FREESHIP,0,REG100059,Cust 3552,15.69,21-03-2024,27-03-2024,Sophie,Laptop and Accessories,30.66666667,60,60
25-01-2025,West,Laptop,20,295.06,Store D,Retail,0.15,Frank,5016.02,Online,SAVE10,1,REG100060,Cust 3354,13.66,25-01-2025,31-01-2025,Wendy,Laptop and Accessories,31.16666667,61,61
12-06-2023,Central,Phone,8,301.68,Store D,Retail,0,Eva,2413.44,Cash,SAVE10,0,REG100061,Cust 3903,36.54,12-06-2023,21-06-2023,Cameron,Mobile Devices,31.66666667,62,62
22-03-2025,Central,Chair,3,475.39,Store B,Retail,0.1,Alice,1283.553,Gift Card,,0,REG100062,Cust 5358,15.62,22-03-2025,26-03-2025,Cameron,Office Accessories,32.16666667,63,63
24-02-2024,Central,Desk,16,47.25,Store D,Retail,0.15,Bob,642.6,Debit Card,FREESHIP,0,REG100063,Cust 8144,29.5,24-02-2024,27-02-2024,Cameron,Office Accessories,32.66666667,64,64
09-12-2023,South,Chair,15,511.17,Store B,Wholesale,0,Frank,7667.55,Online,FREESHIP,0,REG100064,Cust 6747,21.77,09-12-2023,12-12-2023,Sophie,Office Accessories,33.16666667,65,65
01-10-2023,Central,Monitor,3,66.58,Store B,Retail,0.1,Frank,179.766,Debit Card,FREESHIP,0,REG100065,Cust 8330,22.43,01-10-2023,05-10-2023,Cameron,Laptop and Accessories,33.66666667,66,66
31-07-2023,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online,,0,REG100066,Cust 7186,12.24,31-07-2023,07-08-2023,Wendy,Mobile Devices,34.16666667,67,67
24-12-2024,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,24-12-2024,31-12-2024,Sophie,Office Accessories,34.66666667,68,68
15-11-2024,North,Phone,1,159.41,Store B,Retail,0.1,Bob,143.469,Credit Card,FREESHIP,0,REG100068,Cust 3986,35.14,15-11-2024,19-11-2024,Ryan,Mobile Devices,35.16666667,69,69
13-03-2025,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card,SAVE10,0,REG100069,Cust 3213,8.38,13-03-2025,22-03-2025,Wendy,Laptop and Accessories,35.66666667,70,70
03-03-2024,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,03-03-2024,12-03-2024,Eric,Mobile Devices,36.16666667,71,71
11-02-2023,Central,Tablet,20,548.01,Store A,Wholesale,0.1,Eva,9864.18,Credit Card,WINTER15,1,REG100071,Cust 4639,5.89,11-02-2023,14-02-2023,Cameron,Mobile Devices,36.66666667,72,72
26-10-2023,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card,WINTER15,1,REG100072,Cust 4153,6.57,26-10-2023,05-11-2023,Sophie,Office Accessories,37.16666667,73,73
21-10-2023,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card,,0,REG100073,Cust 7096,33.52,21-10-2023,28-10-2023,Sophie,Laptop and Accessories,37.66666667,74,74
14-01-2024,Central,Tablet,19,29.94,Store D,Retail,0.15,Diana,483.531,Debit Card,FREESHIP,0,REG100074,Cust 3806,33.59,14-01-2024,20-01-2024,Cameron,Mobile Devices,38.16666667,75,75
27-07-2023,Central,Desk,10,553.91,Store D,Wholesale,0.1,Eva,4985.19,Online,,0,REG100075,Cust 9345,31.3,27-07-2023,31-07-2023,Cameron,Office Accessories,38.66666667,76,76
23-10-2024,South,Phone,14,445.52,Store B,Retail,0.1,Bob,5613.552,Online,SAVE10,0,REG100076,Cust 4456,14.41,23-10-2024,25-10-2024,Sophie,Mobile Devices,39.16666667,77,77
26-09-2023,South,Chair,5,551.58,Store B,Retail,0.15,Alice,2344.215,Online,WINTER15,1,REG100077,Cust 1089,7.87,26-09-2023,01-10-2023,Sophie,Office Accessories,39.66666667,78,78
16-12-2023,East,Phone,13,241.4,Store D,Retail,0,Carlos,3138.2,Gift Card,SAVE10,0,REG100078,Cust 7230,49.05,16-12-2023,20-12-2023,Eric,Mobile Devices,40.16666667,79,79
02-01-2024,Central,Printer,19,351.93,Store A,Wholesale,0,Alice,6686.67,Credit Card,,0,REG100079,Cust 6597,39.98,02-01-2024,05-01-2024,Cameron,Laptop and Accessories,40.66666667,80,80
16-02-2024,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card,SAVE10,1,REG100080,Cust 4108,38.82,16-02-2024,25-02-2024,Ryan,Mobile Devices,41.16666667,81,81
03-05-2024,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online,,1,REG100081,Cust 2883,24.03,03-05-2024,12-05-2024,Eric,Laptop and Accessories,41.66666667,82,82
27-05-2023,West,Monitor,18,142.43,Store C,Retail,0.05,Bob,2435.553,Credit Card,SAVE10,1,REG100082,Cust 5018,12.38,27-05-2023,02-06-2023,Wendy,Laptop and Accessories,42.16666667,83,83
05-01-2023,East,Desk,12,582.52,Store A,Wholesale,0,Bob,6990.24,Credit Card,FREESHIP,0,REG100083,Cust 1231,41.16,05-01-2023,11-01-2023,Eric,Office Accessories,42.66666667,84,84
21-05-2025,East,Chair,20,129.56,Store A,Retail,0.15,Diana,2202.52,Online,WINTER15,0,REG100084,Cust 2209,40.21,21-05-2025,23-05-2025,Eric,Office Accessories,43.16666667,85,85
21-07-2023,Central,Tablet,17,431.82,Store B,Retail,0,Eva,7340.94,Gift Card,FREESHIP,1,REG100085,Cust 6684,37.75,21-07-2023,25-07-2023,Cameron,Mobile Devices,43.66666667,86,86
25-05-2025,East,Laptop,15,15.85,Store C,Retail,0,Bob,237.75,Debit Card,WINTER15,0,REG100086,Cust 5289,23.49,25-05-2025,03-06-2025,Eric,Laptop and Accessories,44.16666667,87,87
16-11-2024,South,Tablet,20,548.34,Store B,Retail,0.1,Bob,9870.12,Gift Card,WINTER15,0,REG100087,Cust 9159,33.47,16-11-2024,22-11-2024,Sophie,Mobile Devices,44.66666667,88,88
19-11-2023,North,Laptop,16,525.83,Store C,Wholesale,0.05,Frank,7992.616,Online,,0,REG100088,Cust 4844,36.47,19-11-2023,25-11-2023,Ryan,Laptop and Accessories,45.16666667,89,89
12-01-2025,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online,SAVE10,0,REG100089,Cust 3273,48.51,12-01-2025,21-01-2025,Cameron,Laptop and Accessories,45.66666667,90,90
29-03-2023,North,Monitor,19,559.95,Store A,Wholesale,0.1,Carlos,9575.145,Credit Card,WINTER15,0,REG100090,Cust 8160,18.3,29-03-2023,03-04-2023,Ryan,Laptop and Accessories,46.16666667,91,91
01-03-2025,North,Desk,8,179.9,Store C,Retail,0.05,Carlos,1367.24,Online,SAVE10,0,REG100091,Cust 4439,14.8,01-03-2025,05-03-2025,Ryan,Office Accessories,46.66666667,92,92
18-10-2023,North,Chair,12,494.15,Store B,Wholesale,0.15,Diana,5040.33,Online,SAVE10,1,REG100092,Cust 1127,18.05,18-10-2023,20-10-2023,Ryan,Office Accessories,47.16666667,93,93
13-04-2025,East,Desk,10,462.99,Store C,Wholesale,0,Bob,4629.9,Credit Card,WINTER15,0,REG100093,Cust 4696,5.01,13-04-2025,15-04-2025,Eric,Office Accessories,47.66666667,94,94
13-05-2025,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash,SAVE10,1,REG100094,Cust 3014,11.54,13-05-2025,23-05-2025,Cameron,Laptop and Accessories,48.16666667,95,95
21-04-2024,West,Printer,17,309.52,Store B,Wholesale,0.05,Eva,4998.748,Online,FREESHIP,0,REG100095,Cust 2539,6.11,21-04-2024,27-04-2024,Wendy,Laptop and Accessories,48.66666667,96,96
31-01-2025,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card,WINTER15,0,REG100096,Cust 3916,27.48,31-01-2025,08-02-2025,Cameron,Laptop and Accessories,49.16666667,97,97
14-03-2025,Central,Chair,10,503.07,Store C,Retail,0,Bob,5030.7,Credit Card,FREESHIP,0,REG100097,Cust 6329,44.61,14-03-2025,19-03-2025,Cameron,Office Accessories,49.66666667,98,98
26-05-2024,West,Laptop,20,491.68,Store D,Wholesale,0.15,Alice,8358.56,Online,SAVE10,1,REG100098,Cust 4384,43.46,26-05-2024,29-05-2024,Wendy,Laptop and Accessories,50.16666667,99,99
22-07-2023,North,Phone,17,468.45,Store A,Retail,0.05,Carlos,7565.4675,Credit Card,FREESHIP,0,REG100099,Cust 7756,17.88,22-07-2023,26-07-2023,Ryan,Mobile Devices,50.66666667,100,100
21-03-2024,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,21-03-2024,30-03-2024,Ryan,Laptop and Accessories,51.16666667,101,101
05-04-2023,West,Printer,3,221,Store B,Wholesale,0,Frank,663,Cash,FREESHIP,0,REG100101,Cust 3845,32.31,05-04-2023,08-04-2023,Wendy,Laptop and Accessories,51.66666667,102,102
26-08-2024,East,Monitor,6,188.45,Store C,Wholesale,0.05,Alice,1074.165,Gift Card,,0,REG100102,Cust 9996,6.77,26-08-2024,01-09-2024,Eric,Laptop and Accessories,52.16666667,103,103
07-07-2024,North,Desk,3,566.2,Store D,Retail,0,Bob,1698.6,Gift Card,FREESHIP,1,REG100103,Cust 1711,28.97,07-07-2024,17-07-2024,Ryan,Office Accessories,52.66666667,104,104
29-09-2023,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,29-09-2023,08-10-2023,Eric,Laptop and Accessories,53.16666667,105,105
04-10-2023,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,04-10-2023,11-10-2023,Wendy,Laptop and Accessories,53.66666667,106,106
09-06-2025,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card,SAVE10,0,REG100106,Cust 4121,28.05,09-06-2025,16-06-2025,Cameron,Laptop and Accessories,54.16666667,107,107
12-06-2025,East,Printer,16,459.49,Store A,Wholesale,0.1,Eva,6616.656,Online,SAVE10,0,REG100107,Cust 9092,26.99,12-06-2025,14-06-2025,Eric,Laptop and Accessories,54.66666667,108,108
29-06-2024,East,Chair,3,168.05,Store A,Retail,0,Carlos,504.15,Cash,,1,REG100108,Cust 9090,21.08,29-06-2024,06-07-2024,Eric,Office Accessories,55.16666667,109,109
23-03-2024,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.726,Credit Card,,1,REG100109,Cust 1983,49.6,23-03-2024,02-04-2024,Ryan,Laptop and Accessories,55.66666667,110,110
14-07-2024,South,Tablet,4,151.16,Store B,Wholesale,0,Alice,604.64,Gift Card,SAVE10,1,REG100110,Cust 8834,41.4,14-07-2024,21-07-2024,Sophie,Mobile Devices,56.16666667,111,111
15-03-2024,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,15-03-2024,25-03-2024,Sophie,Mobile Devices,56.66666667,112,112
19-04-2025,Central,Chair,15,37.33,Store B,Retail,0.05,Carlos,531.9525,Cash,,1,REG100112,Cust 1293,43.69,19-04-2025,24-04-2025,Cameron,Office Accessories,57.16666667,113,113
15-02-2024,West,Tablet,18,537.02,Store A,Wholesale,0.15,Carlos,8216.406,Debit Card,SAVE10,0,REG100113,Cust 3173,23.94,15-02-2024,20-02-2024,Wendy,Mobile Devices,57.66666667,114,114
25-01-2024,East,Desk,5,215.6,Store C,Wholesale,0,Frank,1078,Online,WINTER15,0,REG100114,Cust 8641,28.36,25-01-2024,04-02-2024,Eric,Office Accessories,58.16666667,115,115
15-04-2025,Central,Laptop,18,209.5,Store D,Wholesale,0,Carlos,3771,Credit Card,FREESHIP,0,REG100115,Cust 7656,38.23,15-04-2025,23-04-2025,Cameron,Laptop and Accessories,58.66666667,116,116
15-04-2025,Central,Chair,8,348.98,Store A,Retail,0.1,Frank,2512.656,Online,FREESHIP,0,REG100116,Cust 5523,19.17,15-04-2025,20-04-2025,Cameron,Office Accessories,59.16666667,117,117
11-08-2024,West,Printer,2,289.14,Store C,Retail,0.05,Diana,549.366,Online,SAVE10,0,REG100117,Cust 2015,5.13,11-08-2024,13-08-2024,Wendy,Laptop and Accessories,59.66666667,118,118
01-12-2023,South,Desk,5,396.93,Store B,Wholesale,0,Diana,1984.65,Credit Card,FREESHIP,0,REG100118,Cust 6895,48.63,01-12-2023,08-12-2023,Sophie,Office Accessories,60.16666667,119,119
06-08-2023,Central,Laptop,10,508.57,Store D,Retail,0.05,Bob,4831.415,Online,SAVE10,0,REG100119,Cust 1797,9.35,06-08-2023,11-08-2023,Cameron,Laptop and Accessories,60.66666667,120,120
24-01-2024,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash,FREESHIP,0,REG100120,Cust 9969,13.73,24-01-2024,31-01-2024,Cameron,Laptop and Accessories,61.16666667,121,121
07-03-2024,Central,Chair,9,313.29,Store D,Retail,0,Carlos,2819.61,Online,FREESHIP,0,REG100121,Cust 1815,14.04,07-03-2024,13-03-2024,Cameron,Office Accessories,61.66666667,122,122
22-01-2024,South,Tablet,5,106.57,Store C,Wholesale,0.1,Carlos,479.565,Debit Card,SAVE10,1,REG100122,Cust 7773,25.24,22-01-2024,28-01-2024,Sophie,Mobile Devices,62.16666667,123,123
23-02-2023,East,Printer,1,109,Store B,Retail,0.15,Frank,92.65,Cash,WINTER15,1,REG100123,Cust 1499,8.03,23-02-2023,27-02-2023,Eric,Laptop and Accessories,62.66666667,124,124
14-06-2023,North,Tablet,8,323.8,Store B,Retail,0,Diana,2590.4,Cash,SAVE10,1,REG100124,Cust 3809,35.23,14-06-2023,22-06-2023,Ryan,Mobile Devices,63.16666667,125,125
13-05-2025,North,Laptop,16,384.32,Store A,Retail,0.05,Frank,5841.664,Cash,FREESHIP,0,REG100125,Cust 7824,21.5,13-05-2025,15-05-2025,Ryan,Laptop and Accessories,63.66666667,126,126
30-07-2024,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card,FREESHIP,0,REG100126,Cust 7258,37.95,30-07-2024,06-08-2024,Cameron,Laptop and Accessories,64.16666667,127,127
18-07-2024,East,Tablet,5,23.41,Store B,Wholesale,0,Frank,117.05,Credit Card,WINTER15,0,REG100127,Cust 1151,26.44,18-07-2024,27-07-2024,Eric,Mobile Devices,64.66666667,128,128
26-08-2024,East,Printer,20,488.9,Store C,Wholesale,0.15,Eva,8311.3,Gift Card,FREESHIP,0,REG100128,Cust 6486,21.77,26-08-2024,01-09-2024,Eric,Laptop and Accessories,65.16666667,129,129
